Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Scalability (1:10),MpPipe,3,18.92625589898671,22.424418872069516,77.69389113548874,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,4,18.635767299929284,21.546466327650705,79.23004490005492,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,5,18.86666239988699,21.9146722845544,78.01973327922641,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,6,18.81889189935464,21.72799508432945,78.28840227737163,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,7,18.767886848945636,21.96615932440909,78.44650536682487,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,8,18.63423274953675,21.810362470030668,79.12580206435221,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,9,18.749862951153773,21.941210940814926,79.52992670650018,10,1,intel_i5_10400f
Scalability (1:10),MpShm,0,10.900248999678297,13.051621586717374,397.0759033605004,10,1,intel_i5_10400f
Scalability (1:10),MpShm,1,11.023114699491998,13.123616071541619,394.3590547287823,10,1,intel_i5_10400f
Scalability (1:10),MpShm,2,11.028155050007626,13.075729289339506,394.63475778298954,10,1,intel_i5_10400f
Scalability (1:10),MpShm,3,10.914953899555258,13.47741807468993,395.4714940783674,10,1,intel_i5_10400f
Scalability (1:10),MpShm,4,10.975449350371491,13.100738218177867,395.60505281417505,10,1,intel_i5_10400f
Scalability (1:10),MpShm,5,10.950965250231093,13.103213551796216,396.2462196099013,10,1,intel_i5_10400f
Scalability (1:10),MpShm,6,10.940741748345317,13.078282486691023,396.43598211859734,10,1,intel_i5_10400f
Scalability (1:10),MpShm,7,10.975206850343966,13.128416195082536,394.63066553755067,10,1,intel_i5_10400f
Scalability (1:10),MpShm,8,11.00462715003232,13.19676087568223,394.62140994328337,10,1,intel_i5_10400f
Scalability (1:10),MpShm,9,11.001533201124403,13.150512678417726,395.0621200077271,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,0,18.6190041986265,40.10474082784641,239.2501774730542,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,1,18.67592464950576,39.994096003050814,244.1037723373631,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,2,18.81414705021598,38.66411279844034,242.919549510501,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,3,18.259554898031638,39.131377964433355,244.86049820052432,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,4,18.754788099977304,39.5182971670438,234.9038631845239,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,5,18.998904700492858,39.954383600226734,252.1209805155191,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,6,18.65124835021561,39.61994006395254,243.94300947915102,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,7,19.072239250817802,39.48940853882961,253.86108964538192,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,8,19.239743799698772,40.159703128178094,238.60497985691973,10,1,intel_i5_10400f
Scalability (1:10),ZeroMQ,9,18.34292195053422,39.97793551225915,239.36963129980958,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,0,8.909512099489802,11.587235446437267,443.3495837283331,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,1,8.955236699694069,11.42883233143948,438.6406816734976,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,2,8.960849600407528,11.183908023485857,437.66237141695177,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,3,8.825964399147779,10.929701694527466,445.03770248889344,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,4,9.205966900481144,11.50307060956402,427.87504034619496,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,5,9.012263249678654,11.522595379487036,435.6693047747082,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,6,9.050188749824883,11.16595523176511,436.8986228048879,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,7,8.760559451548033,11.198619384987982,446.9189147825967,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,8,8.861399150555371,11.116000696471023,444.7217284929093,10,1,intel_i5_10400f
Scalability (1:10),PosixIpc,9,8.842083849594928,11.280389752973864,443.80747099323634,10,1,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,0,1.3709664999623783,2.0359026986261615,3166.6681814927633,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,1,1.3762980051978957,16.689329398289168,3158.7516857361898,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,2,1.3789390031888615,11.934313690945817,3155.8491501080543,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,3,1.3729704987781588,18.21533691291055,3184.261412649506,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,4,1.3763750030193478,16.14993972303882,3180.1076376972483,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,5,1.3843679989804514,16.244506072328214,3148.0313367847752,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,6,1.418139501765836,15.359290277049276,3124.3350637456642,1,10,intel_i5_10400f
Contention (10:1),RsIpc_zerocopy,7,1.3614390009024646,5.3215449678100475,3221.0695257656566,1,10,intel_i5_10400f
