Scenario,Backend,Machine,p50_median,p50_q1,p50_q3,p50_std,p99_median,p99_q1,p99_q3,p99_std,MB/s_median,MB/s_q1,MB/s_q3,MB/s_std,trials,Readers,Writers
Scalability (1:10),PosixIpc,workstation,4.867328150010053,4.834473412510931,4.901278962505273,0.06432569872172647,6.2506466975049815,5.727612805508954,6.550370270750339,0.699101091749245,798.0814683086028,789.9543563466597,805.2373627435704,10.860009704748654,10,10,1
Contention (10:1),RsIpc_zerocopy,workstation,0.8650392500157977,0.8521161250172327,0.9040637499992954,0.028065194960733002,77.94993792502504,57.68427230752867,90.62866991994849,20.13109301803112,5787.83059700629,5617.446723225565,5844.1701872975855,204.6053493906994,10,1,10
Contention (10:1),RsIpc_copy,workstation,1.8553265000207375,1.836992749986166,1.8713202499753834,0.03271643445335469,3.3523705450159023,3.30591318252516,3.4152833174962898,0.15863494013727517,14722.518531688955,14652.900952637623,14838.255894268506,244.4830193156293,10,1,10
Contention (10:1),MpQueue,workstation,1.903034999997999,1.5220737499532788,1.9204953750318055,0.2101609977135003,5.422421725017337,5.168037650017739,6.911027174956632,1.1108356220948488,1796.3866545356498,1779.909537412848,1986.0447967526156,112.02561116481705,10,1,10
Contention (10:1),MpPipe,workstation,0.7946504999551962,0.7932253749913798,0.7971587500037458,0.005671647045653438,75.89585139499167,75.06997318252448,88.34518236251533,29.425302309299944,3503.4501944822628,3480.836905153958,3523.3936766667084,27.911404488949735,10,1,10
Contention (10:1),MpShm,workstation,1.2486732499610298,1.1695801249942406,1.314399250006204,0.18745174064183484,36.620531254964156,35.69336555002539,37.820754994982636,4.769035589179498,5015.744152468038,4978.516060537446,5033.2997772974595,105.98466441695685,10,1,10
Contention (10:1),ZeroMQ,workstation,26.18694749997985,26.055768625013798,26.330934500009562,0.1990569097317159,48.2920751399803,48.135367217499834,48.53205665501322,4.202256401860191,3650.994484140444,3645.5138142621695,3684.929755055171,27.456169592128905,10,1,10
Contention (10:1),PosixIpc,workstation,2.38926200000833,2.371723374977819,2.405210749998332,0.3254746256246038,3.187294749994294,2.9835135924946607,4.554364292479255,2.364842746048912,11173.501382662394,10972.372600185483,11305.374998849533,1294.1261762410402,10,1,10
Size 1MB,RsIpc_zerocopy,workstation,0.06937399999173977,0.06884737499035509,0.07099637498697575,0.0012029637833269903,0.08178244996372541,0.07677160000696404,0.08384475001122382,0.004052633292553853,17484.961866994097,17265.497804684062,17768.585243305646,334.15608992016445,10,1,1
Size 1MB,RsIpc_copy,workstation,0.3061877499703769,0.3059038749739784,0.3064050000034513,0.0008508186546500672,0.3169087550088534,0.3157470749584945,0.3185267674581383,0.0025697754924325247,3316.5830318215303,3310.652584608685,3326.6588703434813,11.487413690730637,10,1,1
Size 1MB,MpQueue,workstation,0.9025877500050683,0.8929971250069002,0.9234140000273783,0.020516293736039092,1.036929845007535,0.9929250000072899,1.087824517477998,0.06882041260086234,2465.946070686681,2414.5539411330788,2482.9123155274992,41.90344370836808,10,1,1
Size 1MB,MpPipe,workstation,0.2494484999431279,0.2488285000055157,0.2511833749423431,0.0030691813544529026,0.6581071999983124,0.5397897949634979,0.6716696324724585,0.13535740541536515,3881.205956969234,3799.9370558606424,3908.278851424179,106.19977876278652,10,1,1
Size 1MB,MpShm,workstation,0.30404499997871426,0.3024051249838067,0.30454375001909284,0.003166421294294682,0.3245264500168332,0.3174279750285791,0.327681397510844,0.043735678341024556,3169.7013968316305,3161.9628279441467,3177.6620160284288,27.561256233190825,10,1,1
Size 1MB,ZeroMQ,workstation,0.4121132499790292,0.4084787499891718,0.4144046250047495,0.0031332348870425587,1.7214611949844993,1.7120495525043122,1.740041275027693,0.02233503175124241,2242.7272685093394,2228.004141014573,2272.3522244997694,452.2684081182297,10,1,1
Size 1MB,PosixIpc,workstation,0.31902500001024237,0.31516250002994184,0.32163425001385804,0.006400900028662076,0.33451850002734324,0.3319563574589779,0.33915562249148934,0.023050089552872726,3170.0322688713195,3128.980369561682,3203.096854360204,59.03856729495842,10,1,1
Size 2MB,RsIpc_zerocopy,workstation,0.12540049999643088,0.12251049999179031,0.12710287501249695,0.0023809798567085644,0.13659695001251748,0.13401704996169883,0.14978431501106107,0.05938244307078238,18353.334448316135,18063.514948213833,18537.753133508442,478.18588958692925,10,1,1
Size 2MB,RsIpc_copy,workstation,0.59852600000454,0.5976279999515555,0.6001327499660647,0.0059631979910647155,0.6219568500131345,0.6108290500043267,0.6567397950655608,0.02562764072313376,3387.1656771246094,3368.3312180252924,3400.3206129983805,41.193814610613934,10,1,1
Size 2MB,MpQueue,workstation,2.2372537500530143,2.1902709999892522,2.2507060000265255,0.03551858991670467,2.351385625030388,2.327718012519994,2.394710537462855,0.0708167943123251,1814.6646209589758,1799.4886344792612,1854.0706715326185,30.104934570975683,10,1,1
Size 2MB,MpPipe,workstation,0.5064542500008429,0.5041482499592576,0.5087391249958273,0.007453921432553035,0.8532781649637387,0.6226924775535273,1.142510434958692,0.34065692939263237,3785.663604151768,3720.3163864673807,3852.6547790241934,79.16560169905014,10,1,1
